segment,codigo,empresa,tipo,participacao_pct,partAcum,qtd_teorica
,ALOS3,ALLOS,ON      NM,0.522,,478975645
,ABEV3,AMBEV S/A,ON,2.404,,4043349180
,ASAI3,ASSAI,ON      NM,0.499,,1335651252
,AURE3,AUREN,ON      NM,0.144,,317886569
,AXIA3,AXIA ENERGIA,ON      NM,4.754,,2278697967
,AZZA3,AZZAS 2154,ON      NM,0.082,,130746665
,B3SA3,B3,ON      NM,3.28,,4985893391
,BBSE3,BBSEGURIDADE,ON      NM,0.927,,616248544
,BBDC3,BRADESCO,ON  EJ  N1,0.91,,1464434502
,BBDC4,BRADESCO,PN  EJ  N1,3.61,,5100907585
,BRAP4,BRADESPAR,PN      N1,0.215,,250886751
,BBAS3,BRASIL,ON  ERJ NM,2.434,,2842760965
,BRAV3,BRAVA,ON      NM,0.193,,277531689
,BPAC11,BTGP BANCO,UNT     N2,2.766,,1194770950
,CXSE3,CAIXA SEGURI,ON      NM,0.453,,600000000
,CEAB3,CEA MODAS,ON      NM,0.073,,204244409
,CMIG4,CEMIG,PN      N1,0.795,,1823593065
,COGN3,COGNA ON,ON      NM,0.17,,1918999490
,CSMG3,COPASA,ON      NM,0.808,,379172627
,CPLE3,COPEL,ON      NM,1.804,,2969578102
,CSAN3,COSAN,ON      NM,0.321,,2278224258
,CPFE3,CPFL ENERGIA,ON      NM,0.325,,187732538
,CMIN3,CSNMINERACAO,ON      N2,0.402,,1572292846
,CURY3,CURY S/A,ON      NM,0.195,,160988231
,CYRE3,CYRELA REALT,ON      NM,0.253,,256078095
,DIRR3,DIRECIONAL,ON      NM,0.131,,326739860
,EMBJ3,EMBRAER,ON      NM,2.627,,711833141
,ENGI11,ENERGISA,UNT     N2,0.704,,358085210
,ENEV3,ENEVA,ON      NM,1.996,,1916508073
,EGIE3,ENGIE BRASIL,ON      NM,0.519,,443076690
,EQTL3,EQUATORIAL,ON      NM,1.881,,1245905097
,FLRY3,FLEURY,ON      NM,0.357,,445241785
,GGBR4,GERDAU,PN      N1,1.236,,1244099630
,GOAU4,GERDAU MET,PN      N1,0.366,,827170367
,HAPV3,HAPVIDA,ON      NM,0.071,,276640336
,HYPE3,HYPERA,ON      NM,0.256,,296007718
,IGTI11,IGUATEMI S.A,UNT     N1,0.219,,220429690
,ISAE4,ISA ENERGIA,PN      N1,0.485,,460013216
,ITSA4,ITAUSA,PN      N1,3.231,,5980171123
,ITUB4,ITAUUNIBANCO,PN      N1,8.684,,5337898685
,KLBN11,KLABIN S/A,UNT     N2,0.585,,786869850
,RENT3,LOCALIZA,ON      NM,1.331,,976910862
,LREN3,LOJAS RENNER,ON      NM,0.421,,975958589
,MGLU3,MAGAZ LUIZA,ON      NM,0.085,,389237948
,POMO4,MARCOPOLO,PN      N2,0.125,,728945103
,MBRF3,MARFRIG,ON      NM,0.479,,735470942
,BEEF3,MINERVA,ON      NM,0.07,,444534706
,MOTV3,MOTIVA SA,ON  EJ  NM,0.631,,1002045228
,MRVE3,MRV,ON      NM,0.082,,374720028
,MULT3,MULTIPLAN,ON      N2,0.369,,322143505
,NATU3,NATURA,ON      NM,0.265,,837026185
,PETR3,PETROBRAS,ON      N2,5.069,,2441951100
,PETR4,PETROBRAS,PN      N2,8.229,,4410957710
,PSSA3,PORTO SEGURO,ON      NM,0.345,,178825403
,PRIO3,PRIO,ON      NM,1.841,,753702456
,RADL3,RAIADROGASIL,ON      NM,0.978,,1312816783
,RDOR3,REDE D OR,ON      NM,1.475,,1030028001
,RAIL3,RUMO S.A.,ON      NM,0.794,,1406822230
,SBSP3,SABESP,ON      NM,3.628,,3524534025
,SANB11,SANTANDER BR,UNT,0.415,,356245448
,CSNA3,SID NACIONAL,ON,0.184,,727462410
,SMFT3,SMART FIT,ON  EJ  NM,0.367,,555416717
,SUZB3,SUZANO S.A.,ON      NM,1.107,,608216821
,TAEE11,TAESA,UNT     N2,0.339,,218568234
,VIVT3,TELEF BRASIL,ON,0.815,,707098992
,TEND3,TENDA,ON      NM,0.145,,118671153
,TIMS3,TIM,ON      NM,0.572,,776308601
,TOTS3,TOTVS,ON      NM,0.647,,515889217
,UGPA3,ULTRAPAR,ON      NM,1.546,,1067930953
,USIM5,USIMINAS,PNA     N1,0.146,,518248757
,VALE3,VALE,ON      NM,10.978,,3687404862
,VAMO3,VAMOS,ON      NM,0.066,,527021942
,VBBR3,VIBRA,ON      NM,1.707,,1194079963
,VIVA3,VIVARA S.A.,ON      NM,0.105,,123861677
,WEGE3,WEG,ON      NM,2.863,,1460506056
,YDUQ3,YDUQS PART,ON      NM,0.094,,247852006
