cd_cvm,empresa,data_fim,lucro,freq
000094,PANATLANTICA S.A.,2010-12-31,19967000.0,A
000140,YARA BRASIL FERTILIZANTES,2010-12-31,934667000.0,A
000701,BAHEMA EDUCAÇÃO S.A.,2010-12-31,47776000.0,A
000906,BCO BRADESCO S.A.,2010-12-31,10052193000.0,A
001023,BCO BRASIL S.A.,2010-12-31,11330345000.0,A
001120,BCO ESTADO DE SERGIPE S.A. - BANESE,2010-12-31,68091000.0,A
001155,BANESTES S.A. - BCO EST ESPIRITO SANTO,2010-12-31,142175000.0,A
001210,BCO ESTADO DO RIO GRANDE DO SUL S.A.,2010-12-31,760253000.0,A
001325,BCO MERCANTIL DO BRASIL S.A.,2010-12-31,191366000.0,A
001384,BCO ALFA DE INVESTIMENTO S.A.,2010-12-31,76849000.0,A
001520,BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,2010-12-31,15002000.0,A
001562,BAUMER S.A.,2010-12-31,3717000.0,A
001597,PARTICIPAÇÕES INDUST. DO NORDESTE S.A.,2010-12-31,31767000.0,A
001694,BICICLETAS MONARK S.A.,2010-12-31,173861000.0,A
002062,CAFE SOLUVEL BRASILIA SA,2010-12-31,-280193000.0,A
002100,CAMBUCI S.A.,2010-12-31,9497000.0,A
002429,IRANI PAPEL E EMBALAGEM S.A.,2010-12-31,34361000.0,A
002437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2010-12-31,2552985000.0,A
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2010-12-31,2257976000.0,A
002461,CENTRAIS ELET DE SANTA CATARINA S.A.,2010-12-31,273516000.0,A
002488,CERAMICA CHIARELLI SA,2010-12-31,-7859000.0,A
002909,CIA CACIQUE CAFE SOLUVEL,2010-12-31,9148000.0,A
003069,CIA FERRO LIGAS DA BAHIA - FERBASA,2010-12-31,133970000.0,A
003077,CIA FIACAO TECIDOS CEDRO CACHOEIRA,2010-12-31,14653000.0,A
003115,CIA SEGUROS ALIANCA DA BAHIA,2010-12-31,23457000.0,A
003158,CIA TECIDOS NORTE DE MINAS COTEMINAS,2010-12-31,9545000.0,A
003182,DOCAS INVESTIMENTOS SA,2010-12-31,-88315000.0,A
003190,REDE ENERGIA PARTICIPAÇÕES S.A.,2010-12-31,-374848000.0,A
003298,CIA HABITASUL DE PARTICIPACOES,2010-12-31,18109000.0,A
003328,CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,2010-12-31,2177232000.0,A
