data,preco,eps_ttm,eps_ttm_pit,pe,pe_pit,earnings_yield,pe_z,pe_pct,cape
2010-01-04,1132.98999,54.29,,20.869221,,4.791746,,,20.52786
2010-01-05,1136.52002,54.29,,20.934242,,4.776863,,,20.52786
2010-01-06,1137.140015,54.29,,20.945662,,4.774258,,,20.52786
2010-01-07,1141.689941,54.29,,21.02947,,4.755232,,,20.52786
2010-01-08,1144.97998,54.29,,21.090071,,4.741568,,,20.52786
2010-01-11,1146.97998,54.29,,21.126911,,4.7333,,,20.52786
2010-01-12,1136.219971,54.29,,20.928716,,4.778124,,,20.52786
2010-01-13,1145.680054,54.29,,21.102967,,4.73867,,,20.52786
2010-01-14,1148.459961,54.29,,21.154171,,4.7272,,,20.52786
2010-01-15,1136.030029,54.29,,20.925217,,4.778923,,,20.52786
2010-01-19,1150.22998,54.29,,21.186774,,4.719926,,,20.52786
2010-01-20,1138.040039,54.29,,20.962241,,4.770482,,,20.52786
2010-01-21,1116.47998,54.29,,20.565113,,4.862604,,,20.52786
2010-01-22,1091.76001,54.29,,20.109781,,4.972705,,,20.52786
2010-01-25,1096.780029,54.29,,20.202248,,4.949944,,,20.52786
2010-01-26,1092.170044,54.29,,20.117334,,4.970838,,,20.52786
2010-01-27,1097.5,54.29,,20.215509,,4.946697,,,20.52786
2010-01-28,1084.530029,54.29,,19.976608,,5.005855,,,20.52786
2010-01-29,1073.869995,54.29,,19.780254,,5.055547,,,20.52786
2010-02-01,1089.189941,57.61,,18.906265,,5.289252,,,19.920539
2010-02-02,1103.319946,57.61,,19.151535,,5.221514,,,19.920539
2010-02-03,1097.280029,57.61,,19.046694,,5.250255,,,19.920539
2010-02-04,1063.109985,57.61,,18.453567,,5.419007,,,19.920539
2010-02-05,1066.189941,57.61,,18.507029,,5.403352,,,19.920539
2010-02-08,1056.73999,57.61,,18.342996,,5.451672,,,19.920539
2010-02-09,1070.52002,57.61,,18.582191,,5.381497,,,19.920539
2010-02-10,1068.130005,57.61,,18.540705,,5.393538,,,19.920539
2010-02-11,1078.469971,57.61,,18.720187,,5.341827,,,19.920539
2010-02-12,1075.51001,57.61,,18.668808,,5.356528,,,19.920539
2010-02-16,1094.869995,57.61,,19.00486,,5.261812,,,19.920539
2010-02-17,1099.51001,57.61,,19.085402,,5.239607,,,19.920539
2010-02-18,1106.75,57.61,,19.211074,,5.205331,,,19.920539
2010-02-19,1109.170044,57.61,,19.253082,,5.193974,,,19.920539
2010-02-22,1108.01001,57.61,,19.232946,,5.199412,,,19.920539
2010-02-23,1094.599976,57.61,,19.000173,,5.26311,,,19.920539
2010-02-24,1105.23999,57.61,,19.184864,,5.212443,,,19.920539
2010-02-25,1102.939941,57.61,,19.144939,,5.223313,,,19.920539
2010-02-26,1104.48999,57.61,,19.171845,,5.215982,,,19.920539
2010-03-01,1115.709961,60.93,,18.31134,,5.461097,,,21.004601
2010-03-02,1118.310059,60.93,,18.354014,,5.4484,,,21.004601
2010-03-03,1118.790039,60.93,,18.361891,,5.446062,,,21.004601
2010-03-04,1122.969971,60.93,,18.430494,,5.425791,,,21.004601
2010-03-05,1138.699951,60.93,,18.688658,,5.350839,,,21.004601
2010-03-08,1138.5,60.93,,18.685377,,5.351779,,,21.004601
2010-03-09,1140.449951,60.93,,18.71738,,5.342628,,,21.004601
2010-03-10,1145.609985,60.93,,18.802068,,5.318564,,,21.004601
2010-03-11,1150.23999,60.93,,18.878057,,5.297155,,,21.004601
2010-03-12,1149.98999,60.93,,18.873954,,5.298307,,,21.004601
2010-03-15,1150.51001,60.93,,18.882488,,5.295912,,,21.004601
2010-03-16,1159.459961,60.93,,19.029377,,5.255033,,,21.004601
2010-03-17,1166.209961,60.93,54.29,19.14016,21.481119,5.224617,,,21.004601
2010-03-18,1165.829956,60.93,54.29,19.133923,21.47412,5.22632,,,21.004601
2010-03-19,1159.900024,60.93,54.29,19.0366,21.364893,5.253039,,,21.004601
2010-03-22,1165.810059,60.93,54.29,19.133597,21.473753,5.226409,,,21.004601
